IDPasivo;Fecha_Donativo;Singularizacion_Donativo;Ocasion_Donativo;Nombre_DonanteEntidad;Nombre_DonanteActivo;Apellidos_DonanteActivo;Nombre_Institucion;IDORPortal_Institucion;IDDonativo
81728;2014-12-17;LIBRO "Vicente Huidobro en la constelación cantante de las aguas;Presente de Navidad;AGUAS ANDINAS S.A;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;125
81711;2014-12-17;LIBRO;PRESENTE DE NAVIDAD;AGUAS ANDINAS S.A.;;;SUBSECRETARÍA DE ECONOMÍA;AH001;153
81745;2014-12-23;Libro "Vicente Huidobro, en la Constelación Cantante de las Aguas";Navidad;AGUAS ANDINAS S.A.;;;SUBSECRETARÍA DE MINERÍA;AS001;322
81720;2014-12-19;Libro "Vicente Huidobro en la constelación cantante de las aguas" ( En exhibición oficina Ministro);Regalo de Navidad;AGUAS ANDINAS S.A.;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;408
81928;2014-12-18;LIBRO  "VICENTE HUIDOBRO" EN LA CONSTELACION CANTANTE DE LAS AGUAS;FIESTA NAVIDEÑA;AGUAS ANDINAS S.A.;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;193
81752;2014-12-23;Libro;Obsequio de Navidad;Aguas Andinas S.A.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;298
81688;2014-12-18;Libro, Obras de "Vicente Huidobro en la constelación cantante de las aguas";Regalo Navideño;AGUAS ANDINAS S.A. (FELIPE LARRAIN ASPILLAGA,- PRESIDENTE DIRECTORIO;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;179
81705;2014-12-02;Merchandising empresa: 4 llaveros;Exponaval;Airbus Helicopters;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;78
81724;2014-12-26;01 Vino y tarjeta navideña;Saludo de Navidad.;Airbus Helicopters Cono Sur S. A.;;;POLICÍA DE INVESTIGACIONES DE CHILE;AD010;470
81731;2014-12-19;corderito de lana (artesanía de la zona);Visita Región de Los Ríos;Alcaldesa de Futrono;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;223
81731;2014-12-20;Galletas de Navidad;VIisita Región de Los Ríos;Alcaldesa de La Unión;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;229
81731;2014-12-19;tejido de lana;visita Región de Los Ríos;Alcaldesa de Paillaco;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;221
81962;2014-12-10;1 EJEMPLAR DEL ANUARIO AUTOMOTRIZ 2014 - 2015;Cortesía;ANAC, ASOCIACIÓN NACIONAL AUTOMOTRIZ DE CHILE A.G.;;;SUBSECRETARÍA DE JUSTICIA;AK001;356
81723;2014-12-15;Artesanía de madera Observatorio Turístico Astronómico Collowara, Andacollo;Seminario sobre turismo astronómico en Andacollo;Anta-Qulqi, Manos Creadoras;;;SUBSECRETARÍA DE TURISMO;AH011;122
81705;2014-12-18;Libro Santiago desde el aire;Saludo de Navidad;Antonio Büchi / Entel Chile;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;271
81720;2015-01-14;Artesanía - muñeca en lana (Enviado a Servicio de Bienestar, para fines Solidarios, mediante Oficio Ord. N° 351,  30/01/2015);regalo recibido por correo certificado ;APR PUQUEREO;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;685
81713;2014-12-05;1 Bolso de Viaje;Regalo de Navidad;ASEXMA Chile AG;;;SUBSECRETARÍA DE HACIENDA;AE001;368
81723;2015-01-02;Cartera. Subsecretaria dona a Fundación Mis Talentos;Asamblea anual de Asociación Brasilera de Agencias de Viajes y Tour Operadores (Abracorp);Asociación Brasilera de Agencias de Viajes y Tour Operadores (Abracorp);;;SUBSECRETARÍA DE TURISMO;AH011;623
81942;2014-12-18;Libro "El Capital en el Siglo XXI". Tomas Piketty.;Saludo por fiestas de fin de año;Asociación Chilena de Municipalidades;;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;230
81712;2014-12-29;2 Botellas de Vino;Cena Anual;Asociación Chilena Industria Transporte de Carga A.G.;;;SUBSECRETARÍA DE HACIENDA;AE001;440
81720;2014-12-13;1 botella de vino Viña Pérez Cruz  (Enviado a Servicio de Bienestar,  para fines Solidarios, mediante Oficio Ord. N°3273, 17/12/2014);Ceremonia 50 años del Programa de Agua  Potable Rural en Chile;Asociación de Agua Potable Rural de la Región Metropolitana;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;118
81732;2015-01-08;Tazon;Reunión con Asociación de Asociaciones TAWANTINSUYU;Asociación de Asociaciones TAWANTINSUYU;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;606
82046;2014-12-15;caja de guindas ;obsequio de navidad;asociación de exportadores;;;SERVICIO NACIONAL DE LA MUJER (SERNAM);AT001;423
81810;2014-12-18;CAJA CON CEREZAS;FIESTA DE FIN DE AÑO ;ASOCIACION DE EXPORTADORES DE CHILE;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;267
81960;2014-12-29;Cuaderno;Obsequio de navidad;Asociación de Exportadores de Chile;;;SERVICIO NACIONAL DE LA MUJER (SERNAM);AT001;426
81747;2014-12-16;Caja de cerezas y 1 agenda;Regalo navideño;Asociación de Exportadores de Fruta  ASOEX;;;SUBSECRETARÍA DE AGRICULTURA;AR001;146
81942;2014-12-23;Agenda año 2015;Saludo por fiestas de fin de año;Asociación de Exportadores de Fruta A.G.;;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;324
81775;2014-12-10;1 caja de guindas - Agendas;Navidad;Asociación de Exportadores de Frutas de Chile;;;SUBSECRETARÍA DEL INTERIOR;AB001;182
81689;2014-12-10;Agenda Corporativa-Frutas de temporada guindas;Navidad;Asociación de Exportadores de frutas de Chile;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;99
81713;2014-12-10;1 Caja de cerezas y 1 agenda;Regalo de Navidad;Asociación de Exportadores de Frutas de Chile (ASOEX) A.G.;;;SUBSECRETARÍA DE HACIENDA;AE001;369
81712;2014-12-10;1 Caja de Cerezas;Regalo de Navidad;Asociación de Exportadores de Frutas de Chile (ASOEX) A.G.;;;SUBSECRETARÍA DE HACIENDA;AE001;436
81719;2014-12-11;Agenda 2015 y Caja de Cerezas;Saludo de Navidad. Ministra dona a Fundación Paternitas;Asociación de Exportadores de Frutas de Chile A.G;;;SUBSECRETARÍA DEL TRABAJO;AL001;104
81472;2014-12-19;AGENDA;SALUDO NAVIDEÑO;ASOCIACION DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;24
81941;2014-12-11;Caja de Guindas y Agenda.;Cortesía navideña;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;103
81696;2014-12-19;AGENDA 2015;Con motivo de Navidad 2014;ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;279
81716;2014-12-18;Agenda;Regalo Navidad;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;247
81712;2014-12-10;1 Agenda Fruit Notebook;Regalo de Navidad;Asociación de exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA DE HACIENDA;AE001;437
81720;2014-12-12;Caja de Cerezas y Agenda  (Sólo agenda enviada a Servicio de Bienestar,  para fines Solidarios, mediante Oficio Ord. N°3273, 17/12/2014);Navidad y fin de año;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;119
81726;2014-12-11;1 Agenda Corporativa y 1 caja (2 Kg. Aprox.) cerezas de exportación;Presente Navideño;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;108
81731;2014-12-22;Agenda año 2015;Navidad;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;241
81752;2014-12-23;Libreta de notas ;Regalo de Navidad ;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;293
81721;2014-12-11;Agenda 2015 y caja de cerezas;saludo de navidad;Asociación de exportadores de frutas de chile A.G.;;;SUBSECRETARÍA DEL TRABAJO;AL001;105
81688;2014-12-10;Agenda 2015 y caja conmemorativa navideña de frutas;Regalo de Navidad;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;97
81727;2014-12-11;Caja con 1 kilo de cerezas y agenda de notas;Regalo Navidad;Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;137
81715;2014-12-11;agenda y caja con guindas de exportación;Obsequi de Fin de Año ;Asociación de Exportadores de Frutas de Chile, A.G.;;;SUBSECRETARÍA DE ECONOMÍA;AH001;102
81727;2014-12-16;Libro Discursos de Sobremesa de Nicanor Parra y tarjeta navideña;Regalo Navidad;Asociación de Funcionarios de Segpres;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;145
81726;2014-12-16;1 Caja Mixta de Bombones y Calugas, marca La Fete, 680 grs;Saludo Navideño;Asociacion de Mutuales A.G.;;;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;121
81705;2014-12-12;Agenda y cajón de Fruta;Regalo de Navidad;Asociación Exportadores de Frutas de Chile A.G.;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;110
81694;2014-12-10;LIBRO ANUARIO AUTOMOTRIZ 2014- 2015;PARA  DIFUSIÓN;ASOCIACION NACIONAL AUTOMOTRIZ DE CHILE AG;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;140
81473;2014-12-19;AGENDA 2015;SALUDO DE FIN DE AÑO;ASOEX;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;23
81711;2014-12-11;caja de guindas y agenda ;presente de navidad;ASOEX;;;SUBSECRETARÍA DE ECONOMÍA;AH001;135
81723;2014-12-23;Agenda 2015;Navidad;Asoex;;;SUBSECRETARÍA DE TURISMO;AH011;415
81928;2014-12-10;CAJA CON CEREZAS Y AGENDA;NAVIDAD;ASOEX  ASOCIACION DE EXPORTADORES DE FRUTA DE CHILE;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;96
81931;2014-12-30;Agenda ;Fiestas de fin de año;ASOEX  ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;462
81744;2014-12-17;Agenda;Navidad 2014;ASOEX - Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA DE MINERÍA;AS001;429
81728;2014-12-11;Agenda y una caja con aproximadamente  un kilo y medio  de guindas;Recibida a través de la oficina de partes del Ministerio ;Asoex (Asociación de Exportadores de Frutas de Chile A.G.;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;106
81694;2014-12-12;CAJA DE FRUTAS CEREZAS CHERRY ;SALUDO NAVIDEÑO;ASOEX ASOCIACION DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;127
81694;2014-12-12;AGENDA 2015 FRUIT NOTEBOOK ;SALUDO NAVIDEÑO;ASOEX ASOCIACION DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;128
81962;2014-12-17;1 LIBRETA DE APUNTES Y 1 CAJA DE CEREZAS (TAMAÑO 28 cm largo, 22 cm ancho y 10 cm alto, aprox.);Cortesía;ASOEX, ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;SUBSECRETARÍA DE JUSTICIA;AK001;357
81697;2014-12-17;1 LIBRETA DE APUNTES Y 1 CAJA DE CEREZAS (TAMAÑO 28 cm largo, 22 cm ancho y 10 cm alto, aprox.);Cortesía;ASOEX, ASOCIACIÓN DE EXPORTADORES DE FRUTAS DE CHILE A.G.;;;SUBSECRETARÍA DE JUSTICIA;AK001;392
81473;2014-12-15;CALENDARIO Y LIBRO INSTITUCIONAL AUDITORIA SUPERIOR DEL ESTADO DE PUEBLA;SALUDO DE FIN DE AÑO;AUDITORIA SUPERIOR DEL ESTADO DE PUEBLA;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;14
81746;2014-12-19;Canasta Navideña;Fiesta Navideña;Banco Chile, Andrónico Luksic;;;SUBSECRETARÍA DE AGRICULTURA;AR001;233
81711;2014-12-19;CANASTA;PRESENTE DE NAVIDAD;BANCO DE CHILE;;;SUBSECRETARÍA DE ECONOMÍA;AH001;213
81720;2014-12-18;Canasta Navideña con comestibles y bebestibles (enviado a Servicio de Bienestar, para fines Solidarios, mediante  Oficio Ord. N° 3389, 31/12/2014);Regalo de Navidad;BANCO DE CHILE;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;421
81688;2014-12-17;Canasta Navideña;Regalo Navidad;BANCO DE CHILE;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;184
81727;2014-12-22;Canasta con productos delicatessen y tarjeta navideña;Regalo Navidad;Banco de Chile;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;251
81941;2015-01-02;Caja con 9 DVD de películas y sobre 91 grs. de palomitas de maíz para microondas. ;Saludo de fin de año;Banco del Estado;;;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;465
81765;2015-01-02;1 caja con 9 Películas  Chilenas ; Navidad y fin de año;Banco del Estado de Chile;;;SUBSECRETARIA DE ENERGÍA;AU002;476
81720;2014-12-02;Cajita de chocolate Varsovienne (Enviado a Servicio de Bienestar, para fines Solidarios, mediante  Oficio Ord. N°3273, 17/12/2014) ;Desayuno Banco Estado;Banco del Estado de Chile;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;117
81720;2015-01-05;Set de Películas Cine Chileno 2014   (Enviado a Servicio de Bienestar, para fines Solidarios, mediante  Oficio Ord. N° 351 30/01/2015) ;Regalo de fin de año;Banco del Estado de Chile;;;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;647
81726;2015-01-02;Caja con 9 películas seleccionadas de Cine Chileno;Saludo de Fin de Año;Banco del Estado de Chile;;;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;521
81472;2015-01-05;CINE CHILENO 2014;REGALO DE CORTESIA;BANCO ESTADO;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;31
82091;2015-01-07;Películas Chilenas;Navidad;Banco Estado;;;CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL;NR001;552
81713;2014-12-26;1 Set de DVD Cine Chileno;Regalo de Navidad;Banco Estado;;;SUBSECRETARÍA DE HACIENDA;AE001;385
81712;2014-12-26;Set de DVD Cine Chileno;Regalo de Navidad;Banco Estado;;;SUBSECRETARÍA DE HACIENDA;AE001;442
82143;2015-01-12;PELICULAS (NOTA: Llegó en el periodo en que no se había nombrado nueva Ministra);NAVIDAD;BANCO ESTADO;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;650
81731;2015-01-07;9 Peliculas Chilenas;Navidad;Banco Estado;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;524
81732;2015-01-06;Set de Películas;Cortesía;Banco Estado;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;605
81775;2014-12-30;Películas Cine Chileno;Navidad 2014;Banco Estado;;;SUBSECRETARÍA DEL INTERIOR;AB001;447
81749;2015-01-07;DVD de Películas Cine Chileno ;Obsequio directamente al Ministro ;Banco Estado;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;522
81705;2015-01-07;Cine Chileno 2014 (DVDs);Fiestas Navideñas;Banco Estado;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;549
82082;2015-01-02;Cine Chileno 2014;Navidad 2014;Banco Estado de Chile;;;DIRECCIÓN NACIONAL DEL SERVICIO CIVIL;AE004;512
81980;2014-12-23;2 botellas de Vino, donadas a la Embajada para el desarrollo de actividades oficiales;Navidad;Banco Macro;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;283
81963;2014-12-31;TAZON;SALUDO FIN DE AÑO;BANCO MUNDIAL;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;479
81694;2014-12-23;MEMORIA 2014;INFORMACION Y DIFUSION;BANCO SANTANDER;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;314
81713;2014-11-28;1 Libro "Mar de Chile";Regalo de Navidad;Banco Santander;;;SUBSECRETARÍA DE HACIENDA;AE001;366
81810;2014-12-03;LIBRO;FIESTAS DE FIN DE AÑO ;BANCO SANTANDER;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;163
81960;2014-12-15;Libro "Mujeres Chilenas Inolvidables";Obsequio de navidad;Banco Scotiabank;;;SERVICIO NACIONAL DE LA MUJER (SERNAM);AT001;425
81724;2015-01-08;Colección DVD "Cine Chileno 2014";Regalo de Navidad;BANCOESTADO;;;POLICÍA DE INVESTIGACIONES DE CHILE;AD010;536
81715;2015-01-02;set de 9 peliculas chilenas;Obsequio de Fin de Año;BancoEstado;;;SUBSECRETARÍA DE ECONOMÍA;AH001;501
81711;2015-01-02;1 JUEGO DE PELICULAS CHILENAS;PRESENTE DE NAVIDAD;BANCOESTADO;;;SUBSECRETARÍA DE ECONOMÍA;AH001;505
81694;2015-01-02;CAJA CON PELICULAS CINE CHILENO 2014;OBSEQUIO ;BANCOESTADO;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;496
81696;2015-01-02;COLECCION DE PELICULAS DE CINE  CHILENO 2014;REGALO;BANCOESTADO;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;600
81729;2015-01-06;SET PELICULAS CINE CHILENO 2014 ;TRABAJO EN CONJUNTO PAGOS BENEFICIOS SOCIALES Y ENCUENTROS PARA LA EDUCACION FINANCIERA;BANCOESTADO;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;518
81962;2015-01-05;9 PELÍCULAS CINE CHILENO;Cortesía;BANCOESTADO;;;SUBSECRETARÍA DE JUSTICIA;AK001;630
81697;2015-01-02;1 CD PRODUCCIÓN "CINE CHILENO 2014";CORTESÍA ;BANCOESTADO;;;SUBSECRETARÍA DE JUSTICIA;AK001;648
81942;2015-01-06;Set de 9 Películas Chilenas "Cine Chileno 2014";Saludo por fiestas de fin de año;BancoEstado;;;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;523
81723;2015-01-02;Nueve DVD, Cine chileno 2014 ;Navidad;BancoEstado;;;SUBSECRETARÍA DE TURISMO;AH011;484
81689;2015-01-02;Colección de 9 videos  de Cine Chileno 2014;Navidad ;Bancoestado;;;SUBSECRETARIA GENERAL DE GOBIERNO;AG001;499
81727;2015-01-02;Caja con DVDs Colección Cine Chileno;Regalo navideño;BancoEstado;;;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;461
81980;2014-12-22;Botella de vino, donada a la Embajada para actividades oficiales;Navidad 2014;Barrick Argentina;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;281
81980;2014-12-22;1 botella de Vino, donada a la Embajada para el desarrollo de actividades oficiales;Navidad;Barrick Argentina;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;282
81711;2014-12-17;libro;presente de navidad;BBVA;;;SUBSECRETARÍA DE ECONOMÍA;AH001;149
81711;2014-12-19;1 OLEO;PRESENTE DE NAVIDAD;BBVA;;;SUBSECRETARÍA DE ECONOMÍA;AH001;214
81713;2014-12-19;1 Cuadro de Francisco Bustamante;Regalo de Navidad;BBVA;;;SUBSECRETARÍA DE HACIENDA;AE001;378
81963;2014-12-31;AGENDA PEQUEÑA;SALUDO FIN DE AÑO;BENKOVICS, DEPOSITOS MUDANZAS Y ARCHIVOS;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;481
81715;2015-01-06;2 Entradas preferencial Cenicienta, Teatro Municipal de las Condes ;cortesia;BHP Billiton;;;SUBSECRETARÍA DE ECONOMÍA;AH001;531
81712;2015-01-08;Una entrada doble  al espectáculo "Les Sorrelles Macarusso";Festival de Teatro Santiago a Mil;BHP Billiton Chile;;;SUBSECRETARÍA DE HACIENDA;AE001;691
81752;2015-01-08;Entradas a la obra Cenicienta;Obsequio ;BHP Chile INC.;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;542
81711;2015-01-05;1 LIBRO ;NO ESPECIFICADO;BIBLIOTECA NACIONAL DE CHILE;;;SUBSECRETARÍA DE ECONOMÍA;AH001;506
81729;2014-12-16;Libro "El Principito";Participacion en el programa de lanzamiento del libro "El Principito" en formato inclusivo;BNP PARIBAS CARDIF;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;474
81705;2014-12-02;Plato decorativo;Exponaval;Brah Mos and Indian Russian Joint Venture;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;83
81705;2014-12-07;Libro Matilde Pérez;Saludo de Navidad;BTG Pactual;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;269
81713;2014-12-10;1 Libro de Pintura de Matilde Pérez;Regalo de Navidad;BTG Pactual S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;370
81712;2014-12-26;1 Libro de Pintura;Regalo de Navidad;BTG Pactual S.A.;;;SUBSECRETARÍA DE HACIENDA;AE001;443
81709;2014-12-19;Libro: " La niña que soñaba en Colores";Navidad;Buses Vule S.A;;;SUBSECRETARIA DE TRANSPORTES;AN001;249
81726;2014-12-16;4 Invitaciones a la 3ra versión de "Concierto de Navidad" (día función 18/12/14), Movistar Arena;Saludo Navideño;CAJA DE COMPENSACIÓN  LOS ANDES.;;;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;154
81472;2014-12-03;LIBRO INSTITUCIONAL;CEREMONIA;CAMARA CHILENA DE LA CONSTRUCCION;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;11
81962;2015-01-23;1 EJEMPLAR REVISTA "EN CONCRETO" EDICIÓN N° 142, ENERO 2015;CORTESÍA;CÁMARA CHILENA DE LA CONSTRUCCIÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;643
81697;2015-01-16;1 EJEMPLAR REVISTA "EN CONCRETO", EDICIÓN N° 141, DICIEMBRE 2014;CORTESÍA;CÁMARA CHILENA DE LA CONSTRUCCIÓN;;;SUBSECRETARÍA DE JUSTICIA;AK001;671
81731;2014-12-18;caja con vino, frasco de aceitunas verdes descorazadas y mini tarro de pate.;Reunión almuerzo Comité de Vivienda C.CH.C.;Cámara Chilena de la Construcción;;;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;178
81697;2014-12-23;SENTENCIAS ARBITRALES (DOS TOMOS);Cortesía;CÁMARA COMERCIO SANTIAGO;;;SUBSECRETARÍA DE JUSTICIA;AK001;402
81697;2015-01-13;1 EJEMPLAR "SENTENCIAS ARBITRALES TOMO VI";CORTESÍA;CÁMARA DE COMERCIO DE SANTIAGO;;;SUBSECRETARÍA DE JUSTICIA;AK001;665
82014;2014-12-10;Una botella de Vodka;Saludo Navidad;Camara de Comercio Finlandia-Latinoamerica;;;SUBSECRETARÍA DE RELACIONES EXTERIORES;AC001;452
81723;2014-12-22;Strudel;Navidad;Cámara Nacional de Comercio, Servicios y Turismo;;;SUBSECRETARÍA DE TURISMO;AH011;409
81962;2015-01-07;1 EJEMPLAR REVISTA DE LA CÁMARA ESPAÑOLA DE COMERCIO DE CHILE , EDICIÓN N° 348, NOVIEMBRE - DICIEMBRE 2014.;CORTESÍA;CÁMARA OFICIAL ESPAÑOLA DE COMERCIO DE CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;633
81697;2015-01-06;1 EJEMPLAR REVISTA DE LA CÁMARA ESPAÑOLA DE COMERCIO DE CHILE , EDICIÓN N° 348, NOVIEMBRE - DICIEMBRE 2014.;CORTESÍA;CÁMARA OFICIAL ESPAÑOLA DE COMERCIO DE CHILE;;;SUBSECRETARÍA DE JUSTICIA;AK001;652
81775;2014-12-18;1 caja Master Chef;Navidad 2014;Canal 13;;;SUBSECRETARÍA DEL INTERIOR;AB001;181
81472;2014-12-24;REGALO DE CORTESIA;SALUDO NAVIDEÑO;CARABINEROS DE CHILE;;;CONTRALORIA GENERAL DE LA REPUBLICA;NR002;28
81764;2014-12-26;Libro Chile - Araucania, Patagonia.;Navidad;Celeo Redes Chile Limitada.;;;SUBSECRETARIA DE ENERGÍA;AU002;335
82143;2015-01-12;LIBRO  (NOTA: Llegó en el periodo en que no se había nombrado nueva Ministra);FIESTA DE FIN DE AÑO;CENTRO  DE ESTUDIOS PUBLICOS;;;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;649
81775;2014-12-18;1 Lápiz de cobre;Actividad Pública Aeropuerto Santiago;Centro Chileno Promoción del Cobre;;;SUBSECRETARÍA DEL INTERIOR;AB001;173
81711;2015-01-09;1 LIBRO;NO ESPECIFICADO;CENTRO DE ESTUDIOS PUBLICOS;;;SUBSECRETARÍA DE ECONOMÍA;AH001;540
81729;2015-01-09;LIBRO ESTUDIOS PUBLICOS, EDICIÓN N°136, PRIMAVERA, 2014, 100 AÑOS DE NICANOR PARRA;ENVIO ;CENTRO DE ESTUDIOS PUBLICOS;;;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007;546
81697;2015-01-12;1 EJEMPLAR PUBLICACIÓN "NICANOR PARRA Y LA GUERRA FRÍA: POESÍS POLÍTICA EN LOS AÑOS CINCUENTA", EDICIÓN N° 136 DEL CENTRO DE ESTUDIOS PÚBLICOS;CORTESÍA;CENTRO DE ESTUDIOS PÚBLICOS;;;SUBSECRETARÍA DE JUSTICIA;AK001;661
81749;2015-01-09;Libro Estudios Públicos N°136 Primavera 2014;Obsequio directamente a gabinete del Ministro ;Centro de Estudios Públicos;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;545
81705;2015-01-19;Libro del Centro de Estudios Públicos;Informativo;Centro de Estudios Públicos;;;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;AD022;602
81694;2015-01-12;LIBRO ESTUDIOS PUBLICOS N°136;REGALO;CENTRO DE ESTUDIOS PUBLICOS - CEP;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;584
81712;2015-01-08;2 Libros de la Serie "Harvard Business Review: Aprenda a delegar";Regalo de Cortesía;ChileCompra;;;SUBSECRETARÍA DE HACIENDA;AE001;690
81694;2015-01-13;PESEBRE HEBRAS DEL ALMA  FIGURAS HECHAS 100 EN LANA POR LAS ARTESANAS DE MOLCO ALTO, REGION DE LA ARAUCANIA;REGALO ;CHILECTRA;;;SUBSECRETARÍA DE EDUCACIÓN;AJ001;582
81765;2015-01-12;Caja de Madera con Pesebre ;Navidad;Chilectra;;;SUBSECRETARIA DE ENERGÍA;AU002;568
81749;2015-01-08;Caja de figuras 100% de oveja de lana hecho a mano artesanía sustentable y con valor humano   inspiradas en el nacimiento del niño  Jesús ;Obsequio directamente al Ministro ;CHILECTRA;;;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;532
81764;2015-01-12;Caja de madera;Navidad;Chilectra S. A.;;;SUBSECRETARIA DE ENERGÍA;AU002;553
81713;2015-01-09;2 Libros ;Regalo de Cortesía;Chileproveedores;;;SUBSECRETARÍA DE HACIENDA;AE001;706
81690;2014-12-29;Grabado de Totoy Zamudio;Navidad;Chilevisión;;;SUBSECRETARÍA DE TELECOMUNICACIONES;AN002;507
