FechaInicio_Viaje;FechaTermino_Viaje;Destino_Viaje;CostoTotal_Viaje;Monto_DesgloseViaje;OtroTipo_DesgloseViaje;Nombre_TipoDesglose;Nombre_FinancistaViaje;Apellidos_FinancistaViaje;Nombre_FinancistaViajeEntidad;IDPasivo;IDViaje_CodigoViaje;Nombre_Objeto;Otro_ObjetoViaje;Nombre_Institucion;IDORPortal_Institucion
2014-12-02;2014-12-02;Puerto Montt;308934;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;90;Otro;Reunión con Asociación de funcionarios; atención proyecto Inter conexión Vial Alerce; reunión Comité "Oportunidad Huilliche"; reunión SEREMI -SERVIU; entrega 35 subsidios térmicos, comuna de Frutillar; Encuentro con Comité Techo Digno V, de Llanquihue; Entrega 362 subsidios térmicos en Puerto Montt; entrevista TV, canal local.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-02;2014-12-02;Región de Valparaiso y del Libertador Bernardo O Higgins;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;92;Otro;En Valparaiso, visita inspectiva viviendas en reconstrucción por incendio abril 2014, con Presidenmta de la República. En región del Libertador Bernardo O Higgins, entrega de terrenos obra vial Manso de Velasco, en San Fernando;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-03;2014-12-03;Región del Bio Bio;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;100;Visitas técnicas;Visita inspectiva Parque El Carbón de Lebu con Presidenta de la República, viaja en avión Presidencial.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-04;2014-12-05;Antofagasta, Chile;532788;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;108;Entrevistas, reuniones o audiencias;Reunión con autoridades del sector vivienda a nivel regional, visita centro recreacional y deportivo Villa Esperanza, visita obras en Talamar-Hangaroa y Plaza Freire, entrevista TV y prensa escrita;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-10;2014-12-11;Región del Bio-Bio, Chile;350553;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;123;Entrevistas, reuniones o audiencias;Reunión con Delegada Presidencial Reconstrucción en Intendencia, entrevista en noticiario Canal Regional Biobio TV, visita de obra Conservación Cerro Caracol, Concepción, reunión con asociación de funcionarios Seremi-Serviu y asociación de Honorarios de región del Biobio.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-16;2014-12-16;Valparaiso, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;150;Celebraciones, conmemoraciones e inauguraciones,;Inauguración Bienal de Arquitectura, Centro Cultural Cárcel de Valparaíso, V Región.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-16;2014-12-17;Región de La Araucania, Chile;266283;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;154;Entrevistas, reuniones o audiencias;Reunión con equipo directivo Serviu Araucania, visita a Radio Bio Bio y Diario Austral, reunión con Asociaciones de funcionarios;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-18;2014-12-19;Coquimbo, Chile;270783;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;173;Entrevistas, reuniones o audiencias;Reunión con gerente Corporación de Desarrollo  Regional. Encuentro con directivos regionales CCHC. Entrevista Radio Elquina en Vicuña. Ceremonia entrega de 79  subsidios de mejoramiento de viviendas.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-21;2014-12-23;Región de Magallanes, Chile;708792;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;174;Entrevistas, reuniones o audiencias;Reunión con Asociación de Funcionarios. Reunión con Seremi y Directora Serviu. Visita de obras Cerro la Cruz. Entrevista la Prensa Austral. Inauguración obras complementarias de Barrio Jorge Cvitanic.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-10;2014-12-10;Valparaiso, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;204;Entrevistas, reuniones o audiencias;Reunión en el Senado, presentación Programas Habitacionales de la región de Valparaiso;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2014-12-29;2014-12-31;Arica y Parinacota, Chile;482103;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;237;Visitas técnicas;Inspección avance de reconstrucción Arica - Parinacota;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-05;2015-01-05;Región de Arica y Parinacota, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;273;Entrevistas, reuniones o audiencias;Entrega de 231 subsidios de viviendas que seran construidas con recursos del Plan Especial de Desarrollo de Zonas Extremas;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-07;2015-01-07;Valparaiso, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;281;Entrevistas, reuniones o audiencias;Firma convenio transferencia MTT/MINVU, Avda. España. Asiste a reunión sesión de la Comisión de Vivienda, Desarrollo Urbano y Bienes Nacionales en la Cámara de Diputados.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-06;2015-01-06;Valparaiso, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;282;Entrevistas, reuniones o audiencias;Asiste a reunión en Cámara de Diputados, de la Comisión de Economía, fomento Mipymes, protección de los consumidores y turistas. Proyecto de ley que establece normas sobre protección de los derechos de los consumidores;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-11;2015-01-12;Magallanes, Chile;142897;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;294;Celebraciones, conmemoraciones e inauguraciones,;Ceremonias inaugurales Congreso Internacional de Briofitas 2015 y Transbordador Patagon, comuna de Porvenir. Visita inspectiva a caleta de pescadores.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-14;2015-01-14;Valparaiso, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;313;Entrevistas, reuniones o audiencias;Asiste a reunión Comisión de Vivienda, Desarrollo Urbano y Bienes Nacionales en la Camara de Diputados. Reunión con Seremi y Director Serviu región de Vaparaiso;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-16;2015-01-16;Región de Los Rios, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;318;Relacionamiento institucional;(Vuelo Presidencial) Recorrido por remodelaciones "Fuerte de Niebla". Firma de indicaciones al proyecto de ley que profundiza la regionalización del país. Inauguración edificio Contraloria Regional de Los Rios.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-16;2015-01-16;Región de Los Rios, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;319;Relacionamiento institucional;(Vuelo Presidencial) Recorrido por remodelaciones "Fuerte de Niebla". Firma de indicaciones al proyecto de ley que profundiza la regionalización del país. Inauguración edificio Contraloria Regional de Los Rios.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-20;2015-01-20;Valparaiso, Chile;40828;40828;;Alimentación;;;Ministerio de Vivienda Y Urbanismo;81731;333;Entrevistas, reuniones o audiencias;Reunión Comisión Senado. Cierre primera piedra etapa reconstrucción Valparaiso.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-23;2015-01-23;Concepción, Chile;242566;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81732;356;Entrevistas, reuniones o audiencias;Reunión con Federación Nacional de Pobladores (FENAPO), entrevista con diario de Concepción, Reunión con Chillancorp;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-22;2015-01-23;Tarapaca, Chile;462885;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;365;Otro;Entrega de subsidios a 51 familias del comité Pampa Ilusion, comuna de Huara. Inicio demolición Las Dunas I, comuna de Iquique. Inicio de obras de reparación condominio social Los Alelíes, comuna de Iquique.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-28;2015-01-30;Región de Los Lagos, Chile;507154;40828;;Alimentación;;;Ministerio de Vivienda y Urbanismo;81731;421;Entrevistas, reuniones o audiencias;Reuniones con Camara Chilena de Construcción de Puerto Montt y Osorno. Ceremonia entrega de subsidios en San Juan de la Costa - dialogo con Comite Santa Fe. Ceremonia entrega de subsidios en Puerto Montt. Primera piedra proyecto habitacional de Calbuco.;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001
2015-01-29;2015-01-29;VI REGION DE OHIGGINS, RANCAGUA., SAN FERNANDO, NANCAGUA, PALMILLA, PEUMO;40828;40828;;Alimentación;;;SUBSECRETARIA DE EVALUACION SOCIAL;81729;429;Celebraciones, conmemoraciones e inauguraciones,;INAUGURACION CENTRO DIURNO ADULTO MAYOR, CEREMONIAS CIERRES PROGRAMAS FOSIS, LANZAMIENTO PROVINCIAL PROYECTOS AUTOGESTIONADOS PARA ORGANIZACIONES DE ADULTOS MAYORES;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007
2015-01-30;2015-01-30;V REGION, LOS ANDES, SAN ESTEBAN;40828;40828;;Alimentación;;;SUBSECRETARIA DE EVALUACION SOCIAL;81729;430;Seminarios, Conferencias o Congresos;Jornada Nacional ¨Proceso de Consulta Indígena";SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007
2015-01-03;2015-01-03;CARTAGENA, V REGION;48828;40828;;Alimentación;;;SUBSECRETARIA EVALUACION SOCIAL;81729;274;Otro;LANZAMIENTO PROGRAMA VERANO PARA TODOS Y TODAS;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007
2015-01-06;2015-01-06;VALPARAISO, V REGION;40828;40828;;Alimentación;;;SUBSECRETARIA EVALUACION SOCIAL;81729;275;Celebraciones, conmemoraciones e inauguraciones,;INAUGURACION CLUB DEPORTIVO 11 ESTRELLAS, RECONSTRUIDO DESPUES DE INCENDIO EN ABRIL 2014  EN CERRO LA CRUZ;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007
2015-01-07;2015-01-07;VALPARAISO Y QUILPUE - V REGION;40828;40828;;Alimentación;;;SUBSECRETARIA EVALUACIÓN SOCIAL;81729;288;Otro;ASISTE A BICAMERAL CONGRESO NACIONAL  ASISTE A ACTIVIDAD FOSIS V REGION - PROGRAMA NIÑAS Y NIÑOS EN ACCION CAMPAMENTO VILLA FUNDADORES.;SUBSECRETARIA DE EVALUACIÓN SOCIAL;AI007
